ИНН,НазваниеПоставщика,Факт_млн,ЧислоПроцедур,ДоляРынка_pct,НакопленнаяДоля_pct
9900000000,ООО Сервис-1,144.53,31,0.49,52.419999999999995
7724294887,АО Росгеология,142.48,14,0.48,52.89999999999999
2709010901,ООО Трансбунке-Ванино,141.12,19,0.48,53.37999999999999
7717802970,ООО Индустрия 4.1,140.92,23,0.48,53.859999999999985
265037983,АО ОЗНА-Измерительные системы,140.11,19,0.48,54.33999999999998
8619008017,ЗАО ЭКОС,139.33,16,0.47,54.80999999999998
770000000216,ООО Поставщик-РФ-216,139.23,15,0.47,55.27999999999998
4501194499,ООО Бурводстрой,136.71,13,0.46,55.73999999999998
6686129782,ООО УСПК-СЕРВИС,136.65,13,0.46,56.19999999999998
8601036750,АО БерезкаГаз Обь,134.66,20,0.46,56.65999999999998
276153614,ООО Нефтестрой,134.2,12,0.46,57.11999999999998
9900000028,ООО Бел-5,134.0,37,0.46,57.579999999999984
274089610,ООО РН-Транспорт,131.24,21,0.45,58.02999999999999
770000000196,ООО Поставщик-РФ-196,127.9,18,0.44,58.469999999999985
8612012328,ООО ТеплоЭнергоСервис,126.41,20,0.43,58.899999999999984
770000000235,ООО Поставщик-РФ-235,126.18,13,0.43,59.329999999999984
7726351724,ООО КР ГРУПП,124.56,21,0.42,59.749999999999986
9900000042,ООО Тур-7,122.83,37,0.42,60.16999999999999
8904034470,ООО Заполярэнергорезерв,122.53,12,0.42,60.58999999999999
8602067215,АО Газпром энергосбыт Тюмень,120.74,18,0.41,60.999999999999986
7017253595,ООО ИЦ ГазИнформПласт,120.73,17,0.41,61.40999999999998
9900000084,13 Energy Services,119.16,42,0.41,61.81999999999998
770000000214,ООО Поставщик-РФ-214,118.84,23,0.4,62.21999999999998
8603093264,АО Ермаковское предприятие по ремонту скважин,115.63,12,0.39,62.60999999999998
8609320474,ООО ИМПЕРИАЛ ФРАК СЕРВИС,115.23,18,0.39,62.99999999999998
8603170092,ООО НефтьЭнергоСтрой,114.06,19,0.39,63.38999999999998
770000000248,ООО Поставщик-РФ-248,113.19,22,0.38,63.76999999999998
770000000246,ООО Поставщик-РФ-246,111.45,18,0.38,64.14999999999998
7017261765,ООО СТК,111.06,8,0.38,64.52999999999997
9900000098,ООО Бел-15,109.94,33,0.37,64.89999999999998
7706061801,ПАО Транснефть,108.59,16,0.37,65.26999999999998
9900000076,Pte Ltd ForeignSupplier-Сингапур-76,107.18,32,0.36,65.62999999999998
8612017816,ООО ЮграСервисАвто,106.33,13,0.36,65.98999999999998
7734580189,ООО ВЕТЭК,105.99,18,0.36,66.34999999999998
770000000218,ООО Поставщик-РФ-218,105.05,18,0.36,66.70999999999998
9900000004,PLC ForeignSupplier-Великобритания-5,104.87,28,0.36,67.06999999999998
8904081664,ООО Ямалкомфорт,104.07,21,0.35,67.41999999999997
8619015462,ООО ЗССК,101.87,18,0.35,67.76999999999997
5019026876,ООО Таймыр Инвест,100.83,23,0.34,68.10999999999997
8604071023,ООО Трансоил-ЮГРА,100.05,16,0.34,68.44999999999997
8603140517,ООО ЮГРАЭНЕРГОСТРОЙ,99.66,18,0.34,68.78999999999998
9900000001,GmbH ForeignSupplier-Германия-2,99.1,27,0.34,69.12999999999998
246513783782,ИП Баталов Александр Алексеевич,95.91,13,0.33,69.45999999999998
7751033130,ООО ВЕСТ,95.72,15,0.33,69.78999999999998
8604059474,ООО СибТоргАвто,93.56,20,0.32,70.10999999999997
8604048095,ООО СЕВЕРТРАНССЕРВИС,92.71,17,0.32,70.42999999999996
7816043890,АО «БТК Групп»,92.11,9,0.31,70.73999999999997
770000000229,ООО Поставщик-РФ-229,91.8,13,0.31,71.04999999999997
770000000219,ООО Поставщик-РФ-219,91.61,12,0.31,71.35999999999997
4501174492,ООО Уралгеопроект,87.98,19,0.3,71.65999999999997
7202135194,ООО Управление АЗС,86.9,14,0.3,71.95999999999997
770000000198,ООО Поставщик-РФ-198,86.89,11,0.3,72.25999999999996
7326005335,ООО СП ВИС-МОС,86.85,21,0.3,72.55999999999996
9900000021,ТОО Каз-4,86.81,37,0.3,72.85999999999996
770000000210,ООО Поставщик-РФ-210,86.48,14,0.29,73.14999999999996
7203126844,ООО ЭнергоТехСервис,85.47,14,0.29,73.43999999999997
7737106202,ООО ГСП РЕМОНТ,85.46,20,0.29,73.72999999999998
275009544,АО Башнефтегеофизика,84.02,22,0.29,74.01999999999998
8612016481,ООО РН-Групп,80.39,16,0.27,74.28999999999998
7705838531,ООО Аггреко Евразия,79.47,29,0.27,74.55999999999997
9728118639,АО Управляющая компания,79.35,22,0.27,74.82999999999997
3812100526,ООО ТехЭнерго,78.54,19,0.27,75.09999999999997
7704459330,ООО РусГазБурение,78.51,20,0.27,75.36999999999996
2311236806,ООО АТИСС,78.37,17,0.27,75.63999999999996
7810093101,ООО Д.Э.С.,77.68,14,0.26,75.89999999999996
8604042801,ООО Сервис-Энерго,76.66,14,0.26,76.15999999999997
9102032738,ООО Предприятие ВИТЭК,76.16,13,0.26,76.41999999999997
7725613712,ООО ИНТЕГРА-СЕРВИСЫ,75.67,20,0.26,76.67999999999998
7725700676,ООО ТатпромХолдинг,74.73,25,0.25,76.92999999999998
6229024740,ООО НТЦ ЗЭРС,73.6,20,0.25,77.17999999999998
3812527396,ООО БСК,71.88,16,0.24,77.41999999999997
5507296450,ООО АВТО-ГОРИЗОНТ,71.76,19,0.24,77.65999999999997
770000000220,ООО Поставщик-РФ-220,71.55,19,0.24,77.89999999999996
770000000197,ООО Поставщик-РФ-197,71.46,15,0.24,78.13999999999996
277025397,ООО Опытный завод Нефтехим,71.14,19,0.24,78.37999999999995
8603157278,ООО ННК Северо-Варьеганское,70.0,15,0.24,78.61999999999995
7728862509,ООО ЕСД,69.64,22,0.24,78.85999999999994
5504118353,ООО УМГА,69.31,11,0.24,79.09999999999994
7204002873,ПАО Авиакомпания ЮТэйр,68.52,21,0.23,79.32999999999994
7203258777,ООО НПП СибБурмаш,67.94,14,0.23,79.55999999999995
7743791789,ООО УРАЛМАШ-ТЕХСЕРВИС,67.76,16,0.23,79.78999999999995
7718607570,ООО Пакер Сервис,67.43,8,0.23,80.01999999999995
8603115020,ООО НТГМ,66.97,19,0.23,80.24999999999996
7730282618,ООО Адвантидж Энерджи,65.7,16,0.22,80.46999999999996
9706023006,ООО Стоунбридж Лигал,65.69,16,0.22,80.68999999999996
8603093017,АО ТМК НЕФТЕГАЗСЕРВИС-НИЖНЕВАРТОВСК,64.82,21,0.22,80.90999999999995
1649015690,ООО ЛЕНИНОГОРСКРЕМСЕРВИС,64.6,15,0.22,81.12999999999995
9900000210,ООО Сервис-31,64.34,34,0.22,81.34999999999995
6311158009,Консорциум ООО «СТРОЙСИСТЕМА» с ООО «НЕФТЕСТРОЙМОНТАЖ-ГРУПП» и ООО «СТРОЙИНВЕСТ»,62.57,23,0.21,81.55999999999995
6732075238,ООО Онлайн Кардс,61.6,22,0.21,81.76999999999994
8602089508,АО Компания МТА,60.43,17,0.21,81.97999999999993
8603214470,ООО СТАНДАРТ ОЙЛ ИНЖИНИРИНГ,60.37,26,0.21,82.18999999999993
7203556170,ООО Эльбрус Дриллинг,59.96,17,0.2,82.38999999999993
8603091244,ООО Биметаллы,59.91,18,0.2,82.58999999999993
770000000238,ООО Поставщик-РФ-238,59.91,15,0.2,82.78999999999994
7714905368,ООО ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА СКВАЖИН,59.9,12,0.2,82.98999999999994
8612014660,ООО Югра Транс Строй Лес,59.89,18,0.2,83.18999999999994
6685153736,ООО АЗИМУТ НС,59.13,15,0.2,83.38999999999994
9900000063,ООО Швейц-10,58.39,28,0.2,83.58999999999995
770000000199,ООО Поставщик-РФ-199,57.89,8,0.2,83.78999999999995
8603100120,ООО ДенКаРС,56.7,13,0.19,83.97999999999995
271006454,ООО Башнефть-строй,56.16,13,0.19,84.16999999999994
8607013460,ООО Технологии Металла,55.56,19,0.19,84.35999999999994
2466237136,ООО СовТрансСтрой,55.11,12,0.19,84.54999999999994
1645028088,ООО ХИМБУРСЕРВИС,54.3,17,0.18,84.72999999999995
1645028088,ООО ХимБурСервис,54.3,17,0.18,84.90999999999995
2461124820,ООО ДАЛС,54.0,19,0.18,85.08999999999996
7706660065,ООО РН-Сервис,53.83,14,0.18,85.26999999999997
770000000243,ООО Поставщик-РФ-243,52.65,13,0.18,85.44999999999997
6381010888,ООО ТРАЕКТОРИЯ-СЕРВИС,52.47,15,0.18,85.62999999999998
9900000067,AG ForeignSupplier-Швейцария-67,52.39,32,0.18,85.80999999999999
2721141058,ООО ЧОП Кедр,51.87,6,0.18,85.99
770000000213,ООО Поставщик-РФ-213,51.74,15,0.18,86.17
7703567364,АО ОЭК,51.05,15,0.17,86.34
8602060026,АО Уралсибгидрострой,51.02,19,0.17,86.51
770000000239,ООО Поставщик-РФ-239,50.61,23,0.17,86.68
8603118208,АО СамотлорНефтеПромХим,50.51,18,0.17,86.85000000000001
8603089941,АО ННК-ННП,50.15,15,0.17,87.02000000000001
1433015030,ООО ПБР,49.58,15,0.17,87.19000000000001
7204186388,ООО ППНСибБурМаш,49.05,16,0.17,87.36000000000001
6685017532,ООО РЕМАН-СЕРВИС,48.97,9,0.17,87.53000000000002
1653008600,ООО Татнефтепроводстрой,48.49,15,0.16,87.69000000000001
770000000201,ООО Поставщик-РФ-201,48.02,17,0.16,87.85000000000001
770000000234,ООО Поставщик-РФ-234,48.01,18,0.16,88.01
770000000224,ООО Поставщик-РФ-224,46.97,18,0.16,88.17
7703432328,ООО Таймырбурсервис,45.96,14,0.16,88.33
7810190225,ООО АКРОС,45.62,14,0.16,88.49
770000000245,ООО Поставщик-РФ-245,45.5,16,0.15,88.64
7731429736,ООО ОДК Инжиниринг,45.3,13,0.15,88.79
8603152495,ООО Галактика-НВ,44.78,18,0.15,88.94000000000001
6501312481,ООО Сахалин Турбина Сервис,44.75,23,0.15,89.09000000000002
7714024384,АО Технологии ОФС,44.62,19,0.15,89.24000000000002
6230000743,ЗАО МПК КРЗ,44.5,19,0.15,89.39000000000003
770000000222,ООО Поставщик-РФ-222,43.68,15,0.15,89.54000000000003
7725607130,ООО Сервисный Центр СБМ,43.58,19,0.15,89.69000000000004
770000000200,ООО Поставщик-РФ-200,43.12,14,0.15,89.84000000000005
5948040571,ООО ОРС,42.85,13,0.15,89.99000000000005
1106013435,ООО Бурсервис,42.44,8,0.14,90.13000000000005
7449146953,ООО СТМ-Сервис,42.37,14,0.14,90.27000000000005
770000000209,ООО Поставщик-РФ-209,41.33,18,0.14,90.41000000000005
8610030917,ООО ННК-Няганьнефтегаз,41.18,17,0.14,90.55000000000005
8603222431,ООО НПО НАНЭКС,41.16,13,0.14,90.69000000000005
770000000212,ООО Поставщик-РФ-212,40.82,13,0.14,90.83000000000006
6670053231,ООО ТД ФТК,40.66,14,0.14,90.97000000000006
770000000194,ООО Поставщик-РФ-194,40.38,18,0.14,91.11000000000006
8609322418,ООО ГЕОЛАД-СКВАЖИННЫЕ ТЕХНОЛОГИИ,40.19,15,0.14,91.25000000000006
263029296,ООО Гепард,40.11,18,0.14,91.39000000000006
8612003852,ООО ЭКОТОН,40.06,9,0.14,91.53000000000006
5031111782,ООО Битумикс,39.71,19,0.14,91.67000000000006
9725063406,ООО Омега Энерджи,39.55,12,0.13,91.80000000000005
5003116972,ООО НПЦ ВТД,39.12,12,0.13,91.93000000000005
770000000195,ООО Поставщик-РФ-195,39.08,20,0.13,92.06000000000004
8603148450,ООО МДС-СТРОЙ,38.9,13,0.13,92.19000000000004
770000000211,ООО Поставщик-РФ-211,38.47,11,0.13,92.32000000000004
7806092088,ООО Мастер Вектор,38.03,22,0.13,92.45000000000003
770000000206,ООО Поставщик-РФ-206,37.54,20,0.13,92.58000000000003
7708801530,АО КОНСАЛТИНВЕСТГРУПП,37.36,11,0.13,92.71000000000002
7713801616,ООО НТЦ ГЕОТЕХНОКИН,37.28,16,0.13,92.84000000000002
8912002225,ООО Автодор,37.04,18,0.13,92.97000000000001
6316271946,ООО ННК-Самаранефтегаз,36.63,10,0.12,93.09000000000002
1650371861,ООО Завод Нефтяного Оборудования,36.62,14,0.12,93.21000000000002
2540065503,ООО АИАМИР,36.47,19,0.12,93.33000000000003
4707029837,ООО НТК,36.38,13,0.12,93.45000000000003
770000000221,ООО Поставщик-РФ-221,35.88,13,0.12,93.57000000000004
2451000582,АО Енисейское речное пароходство,35.87,13,0.12,93.69000000000004
8603203326,ООО ПромСтрой,35.74,13,0.12,93.81000000000004
7708345125,ООО СИБИРСКОЕ УПРАВЛЕНИЕ ВНУТРИСКВАЖИННЫХ РАБОТ,35.38,9,0.12,93.93000000000005
7705816471,АО Международный аэропорт Сочи,34.44,14,0.12,94.05000000000005
770000000225,ООО Поставщик-РФ-225,34.28,16,0.12,94.17000000000006
7719846807,ООО Нью Эйдж Инвестментс,34.21,10,0.12,94.29000000000006
7838392447,ООО Газпромнефть Марин Бункер,34.14,16,0.12,94.41000000000007
7842209221,ООО РС-МГС,34.14,22,0.12,94.53000000000007
4704057515,ООО Приморский торговый порт,34.01,12,0.12,94.65000000000008
8607100346,ООО Сибдорстрой,33.84,14,0.12,94.77000000000008
8911008591,ООО Техдорстрой,33.65,16,0.11,94.88000000000008
7203448538,ООО РЕСУРС–НЕФТЕСЕРВИС,33.61,15,0.11,94.99000000000008
7801413595,ООО Хортица,33.45,11,0.11,95.10000000000008
770000000215,ООО Поставщик-РФ-215,33.22,21,0.11,95.21000000000008
770000000232,ООО Поставщик-РФ-232,33.11,11,0.11,95.32000000000008
5911074937,ООО АКТУМ,32.46,10,0.11,95.43000000000008
7734720936,ООО НИКА-ПЕТРОТЭК,32.08,19,0.11,95.54000000000008
770000000226,ООО Поставщик-РФ-226,31.89,11,0.11,95.65000000000008
8602194090,ООО СеверСпецСервис,31.78,7,0.11,95.76000000000008
8603176619,ООО ГТК,31.63,11,0.11,95.87000000000008
8603209670,ООО РУСНЕФТЕСЕРВИС,31.31,19,0.11,95.98000000000008
8620001545,АО ИНКОМнефть,30.24,12,0.1,96.08000000000007
770000000205,ООО Поставщик-РФ-205,30.12,13,0.1,96.18000000000006
7717133960,ПАО НК РуссНефть,29.99,14,0.1,96.28000000000006
1644005987,АО Татнефтеотдача,29.91,9,0.1,96.38000000000005
8603094902,ООО ЛСР,29.71,11,0.1,96.48000000000005
770000000204,ООО Поставщик-РФ-204,29.68,15,0.1,96.58000000000004
5036011816,АО Подольское ППЖТ,29.56,17,0.1,96.68000000000004
8603224164,ООО ОПТТОРГ,29.3,14,0.1,96.78000000000003
8801011908,ООО Байкитская Нефтегазоразведочная Экспедиция,29.17,10,0.1,96.88000000000002
9731140472,ООО Юнифрак Трейд,28.98,19,0.1,96.98000000000002
6340008625,ООО Отрадное,27.97,10,0.1,97.08000000000001
1658073803,ООО МИРРИКО,27.35,13,0.09,97.17000000000002
7017426368,АО СИБДОРСТРОЙ,27.15,18,0.09,97.26000000000002
2309152771,ООО НПП Нефтехим,27.13,9,0.09,97.35000000000002
7736050003,ПАО Газпром,26.87,9,0.09,97.44000000000003
7814754000,ООО Новые Технологии Демонтажа,26.37,11,0.09,97.53000000000003
8603183366,ООО ГП,26.02,13,0.09,97.62000000000003
7725111141,АО ИНЛАЙН ГРУПП,25.73,16,0.09,97.71000000000004
770000000240,ООО Поставщик-РФ-240,25.67,10,0.09,97.80000000000004
7736514086,ООО СМИТ САЙБИРИАН СЕРВИСЕЗ,24.78,16,0.08,97.88000000000004
770000000241,ООО Поставщик-РФ-241,23.51,14,0.08,97.96000000000004
770000000237,ООО Поставщик-РФ-237,22.34,19,0.08,98.04000000000003
8604035184,ООО Сибгидрострой,20.88,11,0.07,98.11000000000003
8603240536,ООО Энергия Сибири,20.73,13,0.07,98.18000000000002
7706525041,ООО «РН-Энерго»,19.36,17,0.07,98.25000000000001
8620005853,ООО КТП Свет,18.92,11,0.06,98.31000000000002
770000000202,ООО Поставщик-РФ-202,18.24,15,0.06,98.37000000000002
770000000193,ООО Поставщик-РФ-193,18.22,11,0.06,98.43000000000002
8603165021,ООО Гидромеханизированные работы,18.0,7,0.06,98.49000000000002
7706613770,ООО РН-БУРЕНИЕ,17.77,10,0.06,98.55000000000003
8603116722,ООО Вахмонтажстрой,16.57,12,0.06,98.61000000000003
7730155419,ООО ГНС,15.15,12,0.05,98.66000000000003
3906331840,ООО БЭМ,14.95,11,0.05,98.71000000000002
770000000242,ООО Поставщик-РФ-242,12.78,11,0.04,98.75000000000003
770000000217,ООО Поставщик-РФ-217,11.12,8,0.04,98.79000000000003
5321029508,ПАО АКРОН,10.85,9,0.04,98.83000000000004
6325009374,ООО ПОВОЛЖЬЕ+,10.69,7,0.04,98.87000000000005
770000000231,ООО Поставщик-РФ-231,10.69,8,0.04,98.91000000000005
8612017132,ООО ЮТЭК,9.45,9,0.03,98.94000000000005
9900000065,Inc ForeignSupplier-США-65,8.54,45,0.03,98.97000000000006
9900000168,ООО Бел-25,7.57,40,0.03,99.00000000000006
9900000052,Inc ForeignSupplier-США-52,7.1,36,0.02,99.02000000000005
9900000105,ООО Китай-16,6.91,36,0.02,99.04000000000005
9900000050,Pte Ltd ForeignSupplier-Сингапур-50,6.76,33,0.02,99.06000000000004
9900000061,Sdn Bhd ForeignSupplier-Малайзия-61,6.5,30,0.02,99.08000000000004
9900000189,OilTools-28,6.27,40,0.02,99.10000000000004
9900000070,ООО Сервис-11,6.16,34,0.02,99.12000000000003
9900000140,ООО Сервис-21,6.13,35,0.02,99.14000000000003
9900000062,FZ-LLC ForeignSupplier-ОАЭ-62,6.0,45,0.02,99.16000000000003
7736280166,ООО КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ,5.94,41,0.02,99.18000000000002
6633028244,ООО СЛК Цемент,5.82,40,0.02,99.20000000000002
9900000056,ООО Брит-9,5.82,41,0.02,99.22000000000001
9900000161,ТОО Каз-24,5.63,41,0.02,99.24000000000001
7708639661,ООО Везерфорд,5.62,37,0.02,99.26
9900000066,GmbH ForeignSupplier-Германия-66,5.55,35,0.02,99.28
9900000175,ООО Китай-26,5.25,25,0.02,99.3
9900000147,ООО Техно-22,5.23,34,0.02,99.32
9900000053,GmbH ForeignSupplier-Германия-53,5.17,30,0.02,99.33999999999999
9900000064,Ltd ForeignSupplier-Кипр-64,5.17,25,0.02,99.35999999999999
9900000126,ООО Брит-19,4.94,26,0.02,99.37999999999998
9900000073,ООО ForeignSupplier-Белоруссия-73,4.87,26,0.02,99.39999999999998
8913008910,ООО БЕЛОРУСНЕФТЬ-СИБИРЬ,4.85,35,0.02,99.41999999999997
9900000071,A.S. ForeignSupplier-Турция-71,4.81,25,0.02,99.43999999999997
9900000055,B.V. ForeignSupplier-Нидерланды-55,4.77,31,0.02,99.45999999999997
9900000252,ООО Тур-37,4.74,31,0.02,99.47999999999996
9900000080,AG ForeignSupplier-Швейцария-80,4.67,36,0.02,99.49999999999996
9900000203,ООО Швейц-30,4.65,34,0.02,99.51999999999995
9900000035,ООО Китай-6,4.59,32,0.02,99.53999999999995
7708084402,ООО СК ПетроАльянс,4.5,33,0.02,99.55999999999995
9900000054,AG ForeignSupplier-Швейцария-54,4.5,28,0.02,99.57999999999994
9900000196,ООО Брит-29,4.35,31,0.01,99.58999999999995
9900000005,Co. Ltd ForeignSupplier-Китай-6,4.25,26,0.01,99.59999999999995
9900000119,OilTools-18,4.18,37,0.01,99.60999999999996
9900000266,ООО Брит-39,4.14,37,0.01,99.61999999999996
1655142978,ООО Мастер кемикалз,4.12,28,0.01,99.62999999999997
9900000245,ООО Китай-36,4.11,31,0.01,99.63999999999997
9900000058,A.S. ForeignSupplier-Турция-58,4.09,27,0.01,99.64999999999998
9900000049,OilTools-8,4.02,29,0.01,99.65999999999998
9900000217,ООО Техно-32,3.99,28,0.01,99.66999999999999
9900000003,B.V. ForeignSupplier-Нидерланды-4,3.88,30,0.01,99.67999999999999
9900000060,ООО ForeignSupplier-Белоруссия-60,3.84,34,0.01,99.69
9900000182,ООО Тур-27,3.68,34,0.01,99.7
9900000078,Inc ForeignSupplier-США-78,3.67,27,0.01,99.71000000000001
9900000057,Co. Ltd ForeignSupplier-Китай-57,3.65,31,0.01,99.72000000000001
9900000068,B.V. ForeignSupplier-Нидерланды-68,3.65,23,0.01,99.73000000000002
9900000112,ООО Тур-17,3.63,36,0.01,99.74000000000002
9900000059,ТОО ForeignSupplier-Казахстан-59,3.62,26,0.01,99.75000000000003
9900000133,ООО Швейц-20,3.59,22,0.01,99.76000000000003
9900000079,GmbH ForeignSupplier-Германия-79,3.53,29,0.01,99.77000000000004
9900000259,OilTools-38,3.52,30,0.01,99.78000000000004
9900000074,Sdn Bhd ForeignSupplier-Малайзия-74,3.51,35,0.01,99.79000000000005
9900000077,ООО Техно-12,3.42,31,0.01,99.80000000000005
9900000224,33 Energy Services,3.36,23,0.01,99.81000000000006
9900000231,ТОО Каз-34,3.36,30,0.01,99.82000000000006
9900000273,ООО Швейц-40,3.33,26,0.01,99.83000000000007
9900000091,ТОО Каз-14,3.32,28,0.01,99.84000000000007
9900000051,Ltd ForeignSupplier-Кипр-51,3.14,27,0.01,99.85000000000008
9900000069,PLC ForeignSupplier-Великобритания-69,3.03,28,0.01,99.86000000000008
9900000014,3 Energy Services,2.88,25,0.01,99.87000000000009
9900000007,ООО Техно-2,2.65,30,0.01,99.8800000000001
9900000072,ТОО ForeignSupplier-Казахстан-72,2.5,28,0.01,99.8900000000001
9900000075,FZ-LLC ForeignSupplier-ОАЭ-75,2.42,21,0.01,99.9000000000001
9900000002,AG ForeignSupplier-Швейцария-3,2.26,24,0.01,99.91000000000011
9900000154,23 Energy Services,2.13,23,0.01,99.92000000000012
9900000238,ООО Бел-35,2.03,21,0.01,99.93000000000012
