КодЗакупки,НазваниеЗакупки,ДатаЗакупки,КодФилиала,ИНН,КодГруппы,КодКомиссии,СуммаПлан,СуммаФакт,ФлагИмпорта,СтатусКонтракта
40002810597,"Услуги Инвестпроекты и НИОКР, филиал Уфимский филиал АО РН-ПН (процедура 40002810597)",2022-10-07,26,8603176619,89,ЗК-Услуги-001,12969700.09,9995697.28,0,В работе
40006681348,Услуги Сейсморазведка для ООО_Башнефть-Розница (процедура 40006681348),2022-01-01,63,1658073803,58,ЗК-Услуги-009,10943008.83,9635412.07,0,Исполнен
40009360070,Услуги Маркетинг и мероприятия — РН-Морской_терминал_Находка (№40009360070),2023-12-22,72,8604048095,92,ЗК-Услуги-005,12457161.21,9566540.92,0,Исполнен
40007193508,"Услуги Ремонт и освоение скважин, филиал АО Отрадненский ГПЗ (процедура 40007193508)",2022-10-01,55,7708345125,62,ЗК-Услуги-006,9550628.04,9484188.44,0,Исполнен
40007486889,Услуги Геофизические исследования (ГИС) для Филиал ПАО АНК Башнефть Башнефть-Новойл (процедура 40007486889),2023-10-29,10,7708345125,59,ЗК-Услуги-004,8727622.16,9438659.91,0,Исполнен
40000566326,Услуги Поставка углеводородов — ГРОЗНЕФТЕГАЗ (№40000566326),2023-12-16,81,8603214470,90,ЗК-Услуги-006,10756578.8,9427999.53,0,Исполнен
40002998431,"Услуги Сейсморазведка, филиал АО РОСПАН ИНТЕРНЕШНЛ (процедура 40002998431)",2024-01-20,41,4707029837,58,ЗК-Услуги-008,12133110.73,9421658.06,0,Исполнен
40007031422,Услуги Обслуживание энергохозяйства для ООО РН ВАНКОР (процедура 40007031422),2022-12-16,68,8605015335,68,ЗК-Услуги-003,9739771.48,9331159.97,0,Исполнен
40006666145,Услуги Авторский и технадзор — ЗАО ИННЦ (№40006666145),2025-02-12,27,6732075238,79,ЗК-Услуги-005,9562692.1,9325396.57,0,Исполнен
40000347749,"Услуги Операторские и агентские услуги, филиал ООО РН-Черноземье (процедура 40000347749)",2024-12-25,6,1433015030,70,ЗК-Услуги-002,12111206.23,9076544.89,0,В работе
40003561995,Услуги Эксплуатационное бурение для ООО РН-Черноземье (процедура 40003561995),2024-07-18,6,275009544,55,ЗК-Услуги-002,8367650.24,9037163.91,0,Исполнен
40003774286,Услуги АХО и административные услуги — Нефтепромлизинг (№40003774286),2025-08-05,75,8603089941,85,ЗК-Услуги-007,7288397.71,8947818.16,0,В работе
40000998079,"Услуги Ремонт и освоение скважин, филиал УДМУРТНЕФТЬ-БУРЕНИЕ (процедура 40000998079)",2025-04-09,24,6381010888,62,ЗК-Услуги-010,9142511.84,8916413.79,0,Исполнен
40007738052,Услуги Финансы и консалтинг для Саратовнефтепродукт (процедура 40007738052),2022-03-26,67,7734720936,80,ЗК-Услуги-010,10668537.83,8757458.26,0,Исполнен
40004035355,Услуги Охрана и режим — АнгараНефть (№40004035355),2022-02-11,56,8603183366,87,ЗК-Услуги-010,8103909.13,8686889.6,0,Исполнен
40000781241,"Услуги Страхование, филиал ТЗК Шереметьево (процедура 40000781241)",2024-01-05,42,7703432328,81,ЗК-Услуги-006,10028800.09,8582831.35,0,Исполнен
40004659230,Услуги Эксплуатационное бурение для АнгараНефть (процедура 40004659230),2024-07-05,56,6732075238,55,ЗК-Услуги-004,8015922.65,8562217.74,0,Исполнен
40006802058,Услуги Непроизводственные объекты — РН-Морской_терминал_Находка (№40006802058),2025-01-03,72,8602068466,78,ЗК-Услуги-005,8319083.29,8354824.96,0,Исполнен
40002482791,"Услуги Разведочное бурение, филиал ООО СКН (процедура 40002482791)",2024-11-14,87,2466249029,96,ЗК-Услуги-001,7921169.11,8351431.82,0,Исполнен
40008710715,Услуги EPC/EPCM контракты для ООО РН-Черноземье (процедура 40008710715),2023-09-05,6,770000000210,74,ЗК-Услуги-007,10032233.5,8318649.82,0,Исполнен
40004102224,Услуги Химизация добычи — ООО РН-СтройКонтроль (№40004102224),2023-09-30,48,6685017532,66,ЗК-Услуги-008,8662800.3,8178348.47,0,Исполнен
40009191363,"Услуги Корпоративная безопасность, филиал ООО РН Комсомольский - НПЗ (процедура 40009191363)",2025-05-09,28,770000000246,60,ЗК-Услуги-009,6717819.43,8117158.69,0,В работе
40009943908,Услуги Маркетинг и мероприятия для АО РН-Ярославль (процедура 40009943908),2022-01-25,43,770000000199,92,ЗК-Услуги-008,6055094.94,8015758.11,0,Исполнен
40002713458,Услуги Строительство и содержание дорог — АО Орелнефтепродукт (№40002713458),2024-03-26,11,8602060026,64,ЗК-Услуги-005,5999254.17,7893439.95,0,Исполнен
40005600892,"Услуги ТО и ремонт оборудования, филиал АО РН-Ярославль (процедура 40005600892)",2024-01-25,43,2709010901,67,ЗК-Услуги-003,8192459.38,7826535.02,0,Исполнен
40000075165,Услуги ТО и ремонт оборудования для ВНИКТИНХО (процедура 40000075165),2023-06-27,46,5321029508,67,ЗК-Услуги-010,7851458.51,7813929.56,0,Исполнен
40008149361,Услуги Работа с гибкими трубами (ГНКТ) — СНКНГ Славнефть-Красноярскнефтегаз (№40008149361),2022-11-02,21,8904081664,61,ЗК-Услуги-009,9632718.67,7677279.48,0,Исполнен
40001559680,"Услуги ТО и ремонт оборудования, филиал РН-Морской_терминал_Находка (процедура 40001559680)",2023-10-03,72,1645028088,67,ЗК-Услуги-006,5954941.0,7670281.7,0,Исполнен
40001812548,Услуги Энергоснабжение для ООО РН-Черноземье (процедура 40001812548),2024-11-06,6,5036011816,101,ЗК-Услуги-005,8075610.96,7610609.6,0,Исполнен
40001335095,Услуги Охрана и режим — СНКНГ Славнефть-Красноярскнефтегаз (№40001335095),2023-11-24,21,770000000230,87,ЗК-Услуги-003,9974831.33,7556375.36,0,Расторгнут
40008591557,"Услуги Ж/д перевозки, филиал ООО РН-Черноземье (процедура 40008591557)",2024-04-30,6,7703567364,82,ЗК-Услуги-006,5616811.96,7468730.61,0,В работе
40009230995,Услуги Энергоснабжение для 6. ПАО АНК Башнефть (процедура 40009230995),2023-03-18,17,770000000197,101,ЗК-Услуги-003,7220874.82,7444077.78,0,Расторгнут
40008309022,Услуги Энергоснабжение — БРЯНСКНЕФТЕПРОДУКТ (№40008309022),2025-09-13,45,8609322418,101,ЗК-Услуги-010,8932035.44,7370096.52,0,Исполнен
40001617818,"Услуги Энергоснабжение, филиал ООО РН-Пожарная безопасность (процедура 40001617818)",2023-06-14,47,770000000204,101,ЗК-Услуги-006,5990199.99,7368507.97,0,Исполнен
40004610330,Услуги Социально-бытовые услуги для СНКНГ Славнефть-Красноярскнефтегаз (процедура 40004610330),2025-01-12,21,770000000196,84,ЗК-Услуги-004,6636253.57,7051945.25,0,Исполнен
40002284240,Услуги Ж/д перевозки — АО РН-Тверь (№40002284240),2022-12-17,59,770000000216,82,ЗК-Услуги-002,8347907.13,6987392.37,0,В работе
40003683971,"Услуги ИТ-услуги и поддержка, филиал АООРЕНБУРГНЕФТЬ (процедура 40003683971)",2024-05-26,2,7706613770,86,ЗК-Услуги-008,5977436.82,6986362.43,0,Исполнен
40000668331,Услуги Маркетинг и мероприятия для РН-Морской_терминал_Находка (процедура 40000668331),2022-05-14,72,770000000201,92,ЗК-Услуги-004,6841265.62,6773903.09,0,Исполнен
40002237121,Услуги Работа с гибкими трубами (ГНКТ) — АРТ АВИА (№40002237121),2023-10-24,23,770000000196,61,ЗК-Услуги-009,8357956.18,6557635.41,0,Исполнен
40005715155,"Услуги Ж/д перевозки, филиал АО Отрадненский ГПЗ (процедура 40005715155)",2025-12-10,55,8904059355,82,ЗК-Услуги-007,6417136.93,6462127.36,0,Исполнен
40006271144,Услуги Прочие нефтепромысловые услуги для АО РН-Няганьнефтегаз (процедура 40006271144),2023-03-01,35,8619008017,71,ЗК-Услуги-002,5238990.53,6407330.66,0,Исполнен
40003335821,Услуги Строительство и содержание дорог — АО РОСПАН ИНТЕРНЕШНЛ (№40003335821),2023-06-10,41,6316271946,64,ЗК-Услуги-004,5302937.93,6363850.18,0,Исполнен
40007042293,"Услуги ТО и ремонт оборудования, филиал АЗКиОС (процедура 40007042293)",2022-08-14,78,8602068466,67,ЗК-Услуги-005,8101328.59,6325962.39,0,Исполнен
40001494800,Услуги Проектно-изыскательские работы (ПИР) для Филиал ПАО АНК Башнефть Башнефть-Новойл (процедура 40001494800),2022-04-03,10,8620001545,73,ЗК-Услуги-003,6000185.85,6292640.65,0,Исполнен
40008288776,Услуги Охрана и режим — ООО РН-Карт (№40008288776),2023-03-28,5,8602142712,87,ЗК-Услуги-009,7034150.66,6231784.06,0,Исполнен
40002121073,"Услуги Прочие геологические услуги, филиал АО РОСПАН ИНТЕРНЕШНЛ (процедура 40002121073)",2025-07-29,41,5019026876,99,ЗК-Услуги-005,6932904.28,6204280.68,0,Исполнен
40001938133,Услуги Операционные услуги добычи для РН-Морской_терминал_Находка (процедура 40001938133),2025-08-07,72,770000000211,65,ЗК-Услуги-002,6453706.52,6203445.03,0,Исполнен
40002231765,Услуги Ремонт и освоение скважин — ООО Удмуртэнергонефть (№40002231765),2022-10-01,25,7706061801,62,ЗК-Услуги-003,5114392.67,6200795.37,0,В работе
40004862436,"Услуги HR и обучение персонала, филиал АО РН-Ярославль (процедура 40004862436)",2023-12-12,43,770000000210,94,ЗК-Услуги-009,8108242.58,6148306.57,0,В работе
40001899975,Услуги HR и обучение персонала для ООО Харампурнефтегаз (процедура 40001899975),2022-03-29,70,6732075238,94,ЗК-Услуги-007,5027160.01,6134463.1,0,Исполнен
40007202439,Услуги Сопровождение бурения — ООО ТЮНГД (№40007202439),2025-10-30,64,7810190225,57,ЗК-Услуги-002,7863900.28,6088701.34,0,Исполнен
40009139398,"Услуги Инвестпроекты и НИОКР, филиал НК НПЗ (процедура 40009139398)",2024-10-02,12,7706660065,89,ЗК-Услуги-009,4872143.03,6084106.17,0,Исполнен
40002464047,Услуги Сейсморазведка для ИркутскНП (процедура 40002464047),2024-08-08,30,770000000203,58,ЗК-Услуги-004,4649891.25,6065081.99,0,Исполнен
40000010168,Услуги Маркетинг и мероприятия — АнгараНефть (№40000010168),2022-03-16,56,8603170092,92,ЗК-Услуги-009,4649217.85,6051028.63,0,Исполнен
40007179632,"Услуги Операционные услуги добычи, филиал АО РН-Няганьнефтегаз (процедура 40007179632)",2022-01-29,35,7449146953,65,ЗК-Услуги-002,8074085.7,6050423.5,0,Исполнен
40006140909,Услуги Операторские и агентские услуги для НК НПЗ (процедура 40006140909),2025-02-23,12,770000000209,70,ЗК-Услуги-010,7028898.8,6003180.21,0,Исполнен
40003317805,Услуги Сейсморазведка — ООО РН-Черноземье (№40003317805),2022-08-20,6,7743791789,58,ЗК-Услуги-004,7824144.17,5948350.26,0,Исполнен
40003258660,"Услуги Землеустроительные работы, филиал АО РН-Ярославль (процедура 40003258660)",2022-07-30,43,5003116972,77,ЗК-Услуги-005,6156036.98,5858009.95,0,В работе
40006396037,Услуги Аренда и покупка имущества для ООО РН-Карт (процедура 40006396037),2025-08-06,5,8612016481,93,ЗК-Услуги-002,6002562.24,5804199.6,0,Исполнен
40009101266,Услуги Операционные услуги добычи — ВНИКТИНХО (№40009101266),2023-06-20,46,1644005987,65,ЗК-Услуги-010,7738928.7,5744799.06,0,Исполнен
40006290805,"Услуги ТО и ремонт оборудования, филиал АО РНПК (процедура 40006290805)",2025-01-03,36,7717133960,67,ЗК-Услуги-001,6043937.25,5576194.91,0,Исполнен
40000756837,Услуги Прочие геологические услуги для УВАТНЕФТЕГАЗ (процедура 40000756837),2024-11-05,22,7725700676,99,ЗК-Услуги-007,4991252.19,5498217.66,0,Исполнен
40008680996,Услуги Социально-бытовые услуги — ООО НЗМП (№40008680996),2025-01-23,50,8619008017,84,ЗК-Услуги-010,4552450.16,5458041.55,0,Исполнен
40007639358,"Услуги Охрана и режим, филиал АО РН-Ярославль (процедура 40007639358)",2025-05-24,43,8603152495,87,ЗК-Услуги-001,5949557.71,5435561.27,0,Исполнен
40002405272,Услуги Социально-бытовые услуги для ООО НЗМП (процедура 40002405272),2022-03-13,50,5031111782,84,ЗК-Услуги-008,6917339.09,5374154.99,0,Исполнен
40008900945,Услуги Капитальное строительство — СНКНГ Славнефть-Красноярскнефтегаз (№40008900945),2022-05-04,21,770000000214,0,ЗК-Услуги-003,6482932.6,5211301.16,0,Исполнен
40006022034,"Услуги Разведочное бурение, филиал ООО РН_БУНКЕР (процедура 40006022034)",2024-10-04,61,1433015030,96,ЗК-Услуги-010,6121772.18,5172775.1,0,Исполнен
40008124836,Услуги Эксплуатационное бурение для АО Отрадненский ГПЗ (процедура 40008124836),2025-06-29,55,770000000211,55,ЗК-Услуги-006,5587437.49,5136821.4,0,Исполнен
40002951183,Услуги Маркетинг и мероприятия — ВНИКТИНХО (№40002951183),2025-12-15,46,6229024740,92,ЗК-Услуги-007,6123315.42,5076445.35,0,Исполнен
40003696570,"Услуги АХО и административные услуги, филиал ИркутскНП (процедура 40003696570)",2025-03-05,30,8603093017,85,ЗК-Услуги-010,5003115.95,5003125.18,0,Расторгнут
40002821078,Услуги Инвестпроекты и НИОКР для АООРЕНБУРГНЕФТЬ (процедура 40002821078),2025-07-21,2,8604071023,89,ЗК-Услуги-001,5495920.79,4972324.12,0,Расторгнут
40000098613,Услуги Разведочное бурение — АО РН-Няганьнефтегаз (№40000098613),2022-10-10,35,7728862509,96,ЗК-Услуги-006,5597264.84,4949758.61,0,Исполнен
40007636392,"Услуги Экология и охрана труда, филиал ООО Удмуртэнергонефть (процедура 40007636392)",2022-07-07,25,770000000213,95,ЗК-Услуги-007,4941212.92,4943493.87,0,Исполнен
40002620692,Услуги ИТ-услуги и поддержка для СНКНГ Славнефть-Красноярскнефтегаз (процедура 40002620692),2023-09-22,21,2461124820,86,ЗК-Услуги-006,5536470.66,4931441.26,0,Исполнен
40006844098,Услуги Ж/д перевозки — АООРЕНБУРГНЕФТЬ (№40006844098),2022-02-17,2,6229024740,82,ЗК-Услуги-004,4546452.18,4918268.55,0,В работе
40003145116,"Услуги Строительно-монтажные работы (СМР), филиал АО РН-Ярославль (процедура 40003145116)",2024-04-10,43,7743791789,72,ЗК-Услуги-001,4350424.08,4875836.12,0,Исполнен
40001845629,Услуги Промбезопасность и контроль для АО КНП (процедура 40001845629),2022-04-23,33,3906331840,69,ЗК-Услуги-009,5997923.35,4851860.93,0,Исполнен
40005975081,Услуги HR и обучение персонала — РН-ОХРАНА-АНГАРСК (№40005975081),2022-01-19,7,7726351724,94,ЗК-Услуги-004,5008901.89,4817255.12,0,Исполнен
40009221236,"Услуги Маркетинг и мероприятия, филиал АРТ АВИА (процедура 40009221236)",2022-11-30,23,8603224164,92,ЗК-Услуги-007,6252905.2,4796658.17,0,Исполнен
40003301799,Услуги Автотранспортные услуги для АООРЕНБУРГНЕФТЬ (процедура 40003301799),2025-09-28,2,8603214470,63,ЗК-Услуги-007,5291364.86,4770822.92,0,Исполнен
40004372642,Услуги Авторский и технадзор — АО РН-Няганьнефтегаз (№40004372642),2024-05-05,35,7706525041,79,ЗК-Услуги-002,6321657.7,4767803.96,0,В работе
40005295776,"Услуги Обслуживание энергохозяйства, филиал ООО РН ВАНКОР (процедура 40005295776)",2025-09-25,68,8912002225,68,ЗК-Услуги-001,3743798.2,4762109.78,0,Исполнен
40001753027,Услуги ИТ-услуги и поддержка для АО РН-Тверь (процедура 40001753027),2023-06-27,59,8603116722,86,ЗК-Услуги-008,5364473.1,4744047.06,0,Исполнен
40007588733,Услуги Прочие нефтепромысловые услуги — АО РН-Няганьнефтегаз (№40007588733),2024-02-08,35,6685153736,71,ЗК-Услуги-008,6016292.24,4727075.97,0,Исполнен
40005258878,"Услуги Ж/д перевозки, филиал РН-АЭРО (процедура 40005258878)",2025-09-01,40,8603150829,82,ЗК-Услуги-007,4202832.98,4692118.13,0,Исполнен
40003328012,Услуги Аренда и покупка имущества для АО РН-Ярославль (процедура 40003328012),2023-02-11,43,8620001545,93,ЗК-Услуги-008,5403629.2,4667071.42,0,Исполнен
40003441019,Услуги Землеустроительные работы — ИркутскНП (№40003441019),2023-03-12,30,8607013460,77,ЗК-Услуги-003,4614131.0,4615045.62,0,Исполнен
40003969742,"Услуги Сейсморазведка, филиал ООО РН-Черноземье (процедура 40003969742)",2022-02-23,6,7814754000,58,ЗК-Услуги-002,4714919.92,4614694.18,0,Исполнен
