ИНН,НазваниеПоставщика,УровеньПоставщика,СтатусПоставщика,СтранаРегистрации,СтранаБенефициаров,ДатаРегистрации,БазовыйРейтингНадежности
0265037983,АО ОЗНА-Измерительные системы,Основной,Активный,Россия,Россия,2022-09-25,0.92
5036011816,АО Подольское ППЖТ,Разовый,Активный,Россия,Россия,2020-06-17,0.7
9102032738,ООО Предприятие ВИТЭК,Основной,Активный,Россия,Россия,2023-02-06,0.89
0277025397,ООО Опытный завод Нефтехим,Разовый,Активный,Россия,Россия,2020-04-27,0.71
8603176619,ООО ГТК,Разовый,Активный,Россия,Россия,2020-07-31,0.93
7810093101,ООО Д.Э.С.,Ключевой,Активный,Россия,Россия,2018-01-23,0.65
8609320474,ООО ИМПЕРИАЛ ФРАК СЕРВИС,Основной,Активный,Россия,Кипр,2019-05-24,0.98
7017253595,ООО ИЦ ГазИнформПласт,Основной,На пересмотре,Россия,Россия,2021-06-23,0.89
7204002873,ПАО Авиакомпания ЮТэйр,Ключевой,Активный,Россия,Россия,2015-08-24,0.6
8612003852,ООО ЭКОТОН,Стратегический,Активный,Россия,Россия,2020-05-23,0.8
8601036750,АО БерезкаГаз Обь,Основной,Активный,Россия,Россия,2015-11-30,0.98
8603093264,АО Ермаковское предприятие по ремонту скважин,Основной,Активный,Россия,Россия,2020-03-23,0.76
7736035485,АО СОГАЗ,Стратегический,Активный,Россия,Россия,2016-01-11,0.63
7801413595,ООО Хортица,Ключевой,Активный,Россия,Сингапур,2018-03-06,0.76
2540065503,ООО АИАМИР,Разовый,В черном списке,Россия,Россия,2022-03-20,0.78
8620001545,АО ИНКОМнефть,Ключевой,Активный,Россия,ОАЭ,2019-04-20,0.88
7203471720,ООО НефтеГазСервиc-Групп,Ключевой,Активный,Россия,Россия,2022-01-04,0.86
8604071023,ООО Трансоил-ЮГРА,Основной,Активный,Россия,Россия,2018-08-12,0.73
0274089610,ООО РН-Транспорт,Разовый,Активный,Россия,Россия,2024-04-14,0.65
7203448538,ООО РЕСУРС–НЕФТЕСЕРВИС,Основной,На пересмотре,Россия,Россия,2020-01-30,0.74
8612017816,ООО ЮграСервисАвто,Разовый,Активный,Россия,Россия,2018-10-04,0.61
8619008017,ЗАО ЭКОС,Ключевой,Активный,Россия,Россия,2017-05-22,0.95
7703567364,АО ОЭК,Разовый,Активный,Россия,Россия,2018-06-06,0.85
246513783782,ИП Баталов Александр Алексеевич,Основной,Активный,Россия,ОАЭ,2021-05-06,0.85
7713801616,ООО НТЦ ГЕОТЕХНОКИН,Основной,На пересмотре,Россия,ОАЭ,2020-01-26,0.91
7725700676,ООО ТатпромХолдинг,Основной,Активный,Россия,Россия,2022-10-16,0.78
7204173910,ООО Гео Сервисная Компания,Основной,Активный,Россия,Россия,2018-08-07,0.91
8609322418,ООО ГЕОЛАД-СКВАЖИННЫЕ ТЕХНОЛОГИИ,Стратегический,Активный,Россия,Россия,2016-12-25,0.77
6325009374,ООО ПОВОЛЖЬЕ+,Разовый,На пересмотре,Россия,ОАЭ,2023-11-11,0.58
7736540833,ООО ГАЗХОЛОДМАШ,Основной,Активный,Россия,Россия,2020-08-14,0.73
8619017283,ООО ТРАСТ,Ключевой,Активный,Россия,Россия,2022-12-08,0.77
8603115020,ООО НТГМ,Стратегический,На пересмотре,Россия,Россия,2015-03-19,0.87
5031111782,ООО Битумикс,Основной,Активный,Россия,Россия,2022-03-06,0.6
8612014660,ООО Югра Транс Строй Лес,Основной,Активный,Россия,Россия,2015-05-12,0.61
7751033130,ООО ВЕСТ,Стратегический,В черном списке,Россия,Россия,2016-08-23,0.67
8603209670,ООО РУСНЕФТЕСЕРВИС,Основной,В черном списке,Россия,Россия,2019-11-08,0.67
2466249029,ООО СТРОИТЕЛЬНАЯ КОМПАНИЯ БАСТИОН,Ключевой,Активный,Россия,Россия,2017-12-01,0.87
8904081664,ООО Ямалкомфорт,Основной,Активный,Россия,Россия,2020-11-06,0.66
8604059474,ООО СибТоргАвто,Ключевой,Активный,Россия,Россия,2021-09-15,0.83
8602142712,ООО ПБН-СПЕЦМОНТАЖСЕРВИС,Основной,Активный,Россия,Россия,2021-06-01,0.77
1645028088,ООО ХимБурСервис,Основной,Активный,Россия,Россия,2020-02-07,0.8
7714905368,ООО ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА СКВАЖИН,Разовый,Активный,Россия,ОАЭ,2018-08-11,0.92
1645028088,ООО ХИМБУРСЕРВИС,Ключевой,Активный,Россия,Россия,2016-09-07,0.73
7814754000,ООО Новые Технологии Демонтажа,Основной,Активный,Россия,Россия,2022-10-18,0.89
0275009544,АО Башнефтегеофизика,Разовый,Активный,Россия,Россия,2020-03-03,0.71
7734580189,ООО ВЕТЭК,Разовый,Активный,Россия,Россия,2017-11-12,0.97
2461124820,ООО ДАЛС,Ключевой,Активный,Россия,Россия,2016-07-28,0.63
8617016118,ООО ДОРОЖНО-СТРОИТЕЛЬНЫЙ ТРЕСТ №1,Основной,Активный,Россия,Кипр,2020-12-30,0.59
2311236806,ООО АТИСС,Разовый,Активный,Россия,Россия,2017-09-19,0.89
7718607570,ООО Пакер Сервис,Основной,На пересмотре,Россия,Россия,2022-06-05,0.58
7838392447,ООО Газпромнефть Марин Бункер,Основной,Активный,Россия,Россия,2021-01-01,0.92
7737106202,ООО ГСП РЕМОНТ,Ключевой,Активный,Россия,Россия,2018-06-02,0.74
8911008591,ООО Техдорстрой,Стратегический,Активный,Россия,Россия,2023-05-13,0.95
5904266846,ООО ЮНИТЕК,Разовый,Активный,Россия,Россия,2016-05-17,0.87
8904034470,ООО Заполярэнергорезерв,Разовый,Активный,Россия,Россия,2020-06-20,0.82
8602217069,ООО СГК,Основной,Активный,Россия,Россия,2017-03-31,0.97
7842209221,ООО РС-МГС,Основной,Активный,Россия,Россия,2020-11-21,0.72
8603152495,ООО Галактика-НВ,Основной,Активный,Россия,Россия,2023-07-08,0.97
3812527396,ООО БСК,Разовый,Активный,Россия,Россия,2020-05-24,0.61
8912002225,ООО Автодор,Разовый,Активный,Россия,Россия,2015-07-17,0.76
8604048095,ООО СЕВЕРТРАНССЕРВИС,Разовый,Активный,Россия,Россия,2019-07-28,0.67
5507296450,ООО АВТО-ГОРИЗОНТ,Разовый,Активный,Россия,Россия,2022-03-11,0.79
770000000193,ООО Поставщик-РФ-193,Ключевой,Активный,Россия,Россия,2018-07-18,0.87
770000000194,ООО Поставщик-РФ-194,Разовый,Активный,Россия,Россия,2019-06-27,0.75
770000000195,ООО Поставщик-РФ-195,Ключевой,В черном списке,Россия,Россия,2019-01-22,0.93
770000000196,ООО Поставщик-РФ-196,Стратегический,В черном списке,Россия,Россия,2019-08-13,0.57
770000000197,ООО Поставщик-РФ-197,Стратегический,На пересмотре,Россия,Россия,2022-10-24,0.55
770000000198,ООО Поставщик-РФ-198,Стратегический,Активный,Россия,Россия,2018-03-30,0.68
770000000199,ООО Поставщик-РФ-199,Основной,Активный,Россия,Россия,2017-01-17,0.56
770000000200,ООО Поставщик-РФ-200,Ключевой,В черном списке,Россия,Россия,2022-01-02,0.61
770000000201,ООО Поставщик-РФ-201,Стратегический,В черном списке,Россия,Россия,2015-07-09,0.59
770000000202,ООО Поставщик-РФ-202,Основной,В черном списке,Россия,Россия,2020-03-14,0.78
770000000203,ООО Поставщик-РФ-203,Стратегический,Активный,Россия,Россия,2016-10-08,0.63
770000000204,ООО Поставщик-РФ-204,Ключевой,На пересмотре,Россия,Россия,2021-09-01,0.96
770000000205,ООО Поставщик-РФ-205,Основной,На пересмотре,Россия,Россия,2020-08-03,0.68
770000000206,ООО Поставщик-РФ-206,Разовый,На пересмотре,Россия,Россия,2018-09-25,0.66
770000000207,ООО Поставщик-РФ-207,Стратегический,В черном списке,Россия,Россия,2021-12-31,0.92
770000000208,ООО Поставщик-РФ-208,Ключевой,На пересмотре,Россия,Россия,2020-05-09,0.63
770000000209,ООО Поставщик-РФ-209,Стратегический,На пересмотре,Россия,Россия,2017-10-18,0.78
770000000210,ООО Поставщик-РФ-210,Основной,На пересмотре,Россия,Россия,2019-02-09,0.98
770000000211,ООО Поставщик-РФ-211,Основной,На пересмотре,Россия,Россия,2015-07-21,0.94
770000000212,ООО Поставщик-РФ-212,Основной,В черном списке,Россия,Россия,2017-03-26,0.69
770000000213,ООО Поставщик-РФ-213,Основной,В черном списке,Россия,Россия,2018-06-29,0.57
770000000214,ООО Поставщик-РФ-214,Стратегический,Активный,Россия,Россия,2022-07-30,0.88
770000000215,ООО Поставщик-РФ-215,Ключевой,Активный,Россия,Россия,2017-03-02,0.71
770000000216,ООО Поставщик-РФ-216,Стратегический,Активный,Россия,Россия,2018-03-26,0.9
770000000217,ООО Поставщик-РФ-217,Разовый,Активный,Россия,Россия,2022-01-12,0.89
770000000218,ООО Поставщик-РФ-218,Стратегический,В черном списке,Россия,Россия,2018-03-08,0.64
770000000219,ООО Поставщик-РФ-219,Стратегический,В черном списке,Россия,Россия,2016-02-23,0.89
770000000220,ООО Поставщик-РФ-220,Разовый,На пересмотре,Россия,Россия,2021-03-28,0.84
770000000221,ООО Поставщик-РФ-221,Стратегический,В черном списке,Россия,Россия,2015-07-20,0.82
770000000222,ООО Поставщик-РФ-222,Основной,Активный,Россия,Россия,2016-05-17,0.69
770000000223,ООО Поставщик-РФ-223,Стратегический,Активный,Россия,Россия,2020-11-16,0.81
770000000224,ООО Поставщик-РФ-224,Основной,В черном списке,Россия,Россия,2019-04-20,0.76
770000000225,ООО Поставщик-РФ-225,Разовый,В черном списке,Россия,Россия,2019-01-25,0.92
770000000226,ООО Поставщик-РФ-226,Разовый,На пересмотре,Россия,Россия,2016-05-17,0.89
770000000227,ООО Поставщик-РФ-227,Ключевой,В черном списке,Россия,Россия,2016-01-28,0.86
770000000228,ООО Поставщик-РФ-228,Основной,На пересмотре,Россия,Россия,2023-01-18,0.6
770000000229,ООО Поставщик-РФ-229,Ключевой,В черном списке,Россия,Россия,2016-07-17,0.8
770000000230,ООО Поставщик-РФ-230,Стратегический,На пересмотре,Россия,Россия,2021-12-07,0.66
770000000231,ООО Поставщик-РФ-231,Разовый,В черном списке,Россия,Россия,2016-06-24,0.65
770000000232,ООО Поставщик-РФ-232,Стратегический,В черном списке,Россия,Россия,2019-09-19,0.86
770000000233,ООО Поставщик-РФ-233,Стратегический,На пересмотре,Россия,Россия,2022-06-22,0.91
770000000234,ООО Поставщик-РФ-234,Разовый,Активный,Россия,Россия,2022-05-17,0.75
770000000235,ООО Поставщик-РФ-235,Стратегический,На пересмотре,Россия,Россия,2020-06-04,0.79
770000000236,ООО Поставщик-РФ-236,Основной,В черном списке,Россия,Россия,2019-02-05,0.69
770000000237,ООО Поставщик-РФ-237,Разовый,Активный,Россия,Россия,2018-11-01,0.83
770000000238,ООО Поставщик-РФ-238,Разовый,Активный,Россия,Россия,2019-11-04,0.68
770000000239,ООО Поставщик-РФ-239,Основной,В черном списке,Россия,Россия,2016-10-10,0.76
770000000240,ООО Поставщик-РФ-240,Разовый,В черном списке,Россия,Россия,2018-06-11,0.7
770000000241,ООО Поставщик-РФ-241,Ключевой,В черном списке,Россия,Россия,2019-06-20,0.8
770000000242,ООО Поставщик-РФ-242,Стратегический,Активный,Россия,Россия,2020-01-28,0.98
770000000243,ООО Поставщик-РФ-243,Стратегический,На пересмотре,Россия,Россия,2019-06-25,0.68
770000000244,ООО Поставщик-РФ-244,Разовый,В черном списке,Россия,Россия,2020-11-30,0.98
770000000245,ООО Поставщик-РФ-245,Стратегический,На пересмотре,Россия,Россия,2017-05-04,0.67
770000000246,ООО Поставщик-РФ-246,Разовый,Активный,Россия,Россия,2019-07-20,0.61
770000000247,ООО Поставщик-РФ-247,Стратегический,На пересмотре,Россия,Россия,2019-08-23,0.79
770000000248,ООО Поставщик-РФ-248,Ключевой,В черном списке,Россия,Россия,2015-07-22,0.71
770000000249,ООО Поставщик-РФ-249,Разовый,В черном списке,Россия,Россия,2015-10-21,0.71
770000000250,ООО Поставщик-РФ-250,Стратегический,На пересмотре,Россия,Россия,2015-07-17,0.73
7708639661,ООО Везерфорд,Ключевой,Активный,Россия,Швейцария,2023-12-28,0.95
6633028244,ООО СЛК Цемент,Основной,Активный,Россия,Германия,2018-08-05,0.73
8913008910,ООО БЕЛОРУСНЕФТЬ-СИБИРЬ,Разовый,Активный,Россия,Белоруссия,2019-05-25,0.95
7708084402,ООО СК ПетроАльянс,Ключевой,Активный,Россия,Нидерланды,2022-02-03,0.78
5603011386,ООО Специализированное тампонажное управление,Основной,Активный,Россия,США,2019-01-04,0.79
1655142978,ООО Мастер кемикалз,Разовый,На пересмотре,Россия,США,2023-01-24,0.94
7705838531,ООО Аггреко Евразия,Ключевой,На пересмотре,Россия,Соед. Королев.,2023-02-13,0.83
7736280166,ООО КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ,Ключевой,Активный,Россия,Китай,2021-10-05,0.74
9900000000,ООО Сервис-1,Основной,Активный,Россия,Нидерланды,2021-09-04,0.62
9900000007,ООО Техно-2,Стратегический,В черном списке,Россия,Германия,2018-04-17,0.92
9900000014,3 Energy Services,Ключевой,Активный,США,США,2022-02-14,0.92
9900000021,ТОО Каз-4,Разовый,Активный,Казахстан,Казахстан,2019-01-11,0.97
9900000028,ООО Бел-5,Основной,Активный,Россия,Белоруссия,2023-06-14,0.62
9900000035,ООО Китай-6,Стратегический,На пересмотре,Россия,Китай,2019-07-05,0.82
9900000042,ООО Тур-7,Ключевой,В черном списке,Россия,Турция,2019-08-20,0.76
9900000049,OilTools-8,Основной,Активный,Малайзия,Малайзия,2018-08-05,0.7
9900000056,ООО Брит-9,Стратегический,Активный,Россия,Соед. Королев.,2020-07-28,0.7
9900000063,ООО Швейц-10,Ключевой,Активный,Россия,Швейцария,2016-04-22,0.73
9900000070,ООО Сервис-11,Основной,Активный,Россия,Нидерланды,2018-06-08,0.86
9900000077,ООО Техно-12,Основной,Активный,Россия,Германия,2017-07-11,0.81
9900000084,13 Energy Services,Основной,Активный,США,США,2016-02-24,0.75
9900000091,ТОО Каз-14,Ключевой,На пересмотре,Казахстан,Казахстан,2021-01-13,0.58
9900000098,ООО Бел-15,Разовый,Активный,Россия,Белоруссия,2022-02-10,0.58
9900000105,ООО Китай-16,Ключевой,Активный,Россия,Китай,2018-01-25,0.55
9900000112,ООО Тур-17,Основной,Активный,Россия,Турция,2023-05-27,0.98
9900000119,OilTools-18,Разовый,Активный,Малайзия,Малайзия,2023-05-03,0.55
9900000126,ООО Брит-19,Основной,Активный,Россия,Соед. Королев.,2017-08-08,0.6
9900000133,ООО Швейц-20,Разовый,Активный,Россия,Швейцария,2021-05-25,0.69
9900000140,ООО Сервис-21,Основной,Активный,Россия,Нидерланды,2018-07-01,0.91
9900000147,ООО Техно-22,Основной,Активный,Россия,Германия,2021-02-21,0.97
9900000154,23 Energy Services,Стратегический,Активный,США,США,2022-03-30,0.9
9900000161,ТОО Каз-24,Основной,Активный,Казахстан,Казахстан,2020-02-01,0.85
