КодГруппы,НазваниеГруппы,Категория
3230,Нефтепромысловое оборудование,Металлопрокат и трубы
3240,Скважинное оборудование,Металлопрокат и трубы
3250,Подъемники для ремонта скважин,Металлопрокат и трубы
3260,Фонтанная арматура,Металлопрокат и трубы
3270,Штанговые насосы (ШГН),Металлопрокат и трубы
3280,Насосные штанги,Металлопрокат и трубы
3290,Установки ЭЦН,Металлопрокат и трубы
3300,Погружные насосы и запчасти,Металлопрокат и трубы
3310,Погружные электродвигатели (ПЭД),Металлопрокат и трубы
3320,Щиты управления,Металлопрокат и трубы
3330,Буровые установки,Металлопрокат и трубы
3340,Буровой инструмент (калибраторы),Металлопрокат и трубы
3350,Буровые долота и головки,Металлопрокат и трубы
3360,Оснастка обсадных колонн,Металлопрокат и трубы
3370,Пакеры,Металлопрокат и трубы
3380,Термостойкое скважинное оборудование,Металлопрокат и трубы
3390,Очистка буровых растворов,Металлопрокат и трубы
3400,Устьевое оборудование,Металлопрокат и трубы
3410,Станки-качалки,Металлопрокат и трубы
3420,Противовыбросовое оборудование (ПВО),Металлопрокат и трубы
3430,Цементировочное оборудование,Металлопрокат и трубы
3440,Запчасти для бурового оборудования,Металлопрокат и трубы
3450,Вспомогательное буровое оборудование,Металлопрокат и трубы
3460,Прочее скважинное оборудование,Металлопрокат и трубы
3470,Оборудование для ремонта скважин,Металлопрокат и трубы
3480,Трубопроводная арматура,Металлопрокат и трубы
3490,Автотранспорт,Металлопрокат и трубы
3500,Спецтехника,Металлопрокат и трубы
3510,Автозапчасти,Металлопрокат и трубы
3520,Вагон-дома и мобильные здания,Металлопрокат и трубы
3530,Крепежный и тампонажный цемент,Металлопрокат и трубы
3540,Тампонажный цемент,Металлопрокат и трубы
3550,Кабельная продукция,Металлопрокат и трубы
3560,Трансформаторы,Металлопрокат и трубы
3570,Электродвигатели,Металлопрокат и трубы
3580,Системы электроснабжения,Металлопрокат и трубы
3590,ПК и офисная техника,Металлопрокат и трубы
3600,Персональные компьютеры,Металлопрокат и трубы
3610,Прочая компьютерная техника,Металлопрокат и трубы
3620,Спец. компьютерные устройства,Металлопрокат и трубы
3630,Периферийные устройства,Металлопрокат и трубы
3640,Телеком-оборудование,Металлопрокат и трубы
3650,Инженерные станции,Металлопрокат и трубы
3660,Прочая вычислительная техника,Металлопрокат и трубы
3670,Системы документооборота,Металлопрокат и трубы
3680,Программное обеспечение (ПО),Металлопрокат и трубы
3690,Резисторы,Металлопрокат и трубы
3700,Конденсаторы,Металлопрокат и трубы
3710,Полупроводники,Металлопрокат и трубы
3720,Беспроводная связь,Металлопрокат и трубы
3730,Судовое оборудование,Металлопрокат и трубы
3740,Проводная связь,Металлопрокат и трубы
3750,Радиолокационное оборудование,Металлопрокат и трубы
3760,Навигационное оборудование,Металлопрокат и трубы
3770,Канцтовары,Металлопрокат и трубы
3780,Посуда и кухонный инвентарь,Металлопрокат и трубы
3790,Сувенирная продукция,Металлопрокат и трубы
3800,Хозтовары,Металлопрокат и трубы
3810,Сантехника,Металлопрокат и трубы
3820,Инструменты,Металлопрокат и трубы
3830,Мебель,Металлопрокат и трубы
3840,Рабочая обувь,Металлопрокат и трубы
3850,Спецодежда,Металлопрокат и трубы
3860,Прочие материалы,Металлопрокат и трубы
3861,Прочие хозматериалы,Металлопрокат и трубы
3862,Комплектующие для общепита,Металлопрокат и трубы
3863,Оборудование для общепита,Металлопрокат и трубы
3870,КИПиА,Металлопрокат и трубы
3880,Спецкабель (КПБК/КПБП),Металлопрокат и трубы
3890,Электроподстанции,Металлопрокат и трубы
3900,Изоляционные материалы,Металлопрокат и трубы
3910,Железобетонные изделия (ЖБИ),Металлопрокат и трубы
3920,Аккумуляторы (АКБ),Металлопрокат и трубы
3930,Прочее электрооборудование,Металлопрокат и трубы
3940,Нестандартизированное оборудование,Металлопрокат и трубы
3950,Автошины,Металлопрокат и трубы
3960,Средства индивидуальной защиты (СИЗ),Металлопрокат и трубы
3970,Навигация и телеметрия,Металлопрокат и трубы
3980,Тара и упаковка,Металлопрокат и трубы
3985,Проппант,Металлопрокат и трубы
3986,Кварцевый песок,Металлопрокат и трубы
3990,ГСМ и топливо,Металлопрокат и трубы
3995,Автохимия,Металлопрокат и трубы
4000,Медикаменты,"Оборудование, техника и прочее"
4010,Металлоконструкции,"Оборудование, техника и прочее"
4020,Вентиляция и кондиционирование,"Оборудование, техника и прочее"
4030,Прочее оборудование,"Оборудование, техника и прочее"
