КодЗакупки,НазваниеЗакупки,ДатаЗакупки,КодФилиала,ИНН,КодГруппы,КодКомиссии,СуммаПлан,СуммаФакт,СтранаПроисхождения,ФлагИмпорта,СтатусКонтракта
40007527403,Закупка Сантехника для ООО РН-СтройКонтроль (процедура 40007527403),2022-06-04,48,7203471720,3810,ЗК-МТР-007,33147309.46,33696360.88,Россия,0,Исполнен
40000508205,Закупка Черный металлопрокат — ВНИКТИНХО (№40000508205),2024-12-30,46,8604042801,3040,ЗК-МТР-008,37986068.38,33088589.75,Россия,0,Исполнен
40000458212,"Закупка Насосные штанги, филиал РН-Краснодарнефтегаз (процедура 40000458212)",2024-03-13,14,1649015690,3280,ЗК-МТР-003,43961622.38,32925311.48,Россия,0,Исполнен
40009706231,Закупка КИПиА для АО РОСПАН ИНТЕРНЕШНЛ (процедура 40009706231),2023-02-05,41,7203126844,3870,ЗК-МТР-001,43392656.76,32379288.01,Россия,0,Исполнен
40004177946,Закупка Химреактивы (лабораторные) — Саратовнефтепродукт (№40004177946),2024-02-16,67,8602067215,3220,ЗК-МТР-004,38154817.36,32372608.26,Россия,0,Исполнен
40007132620,"Закупка Противовыбросовое оборудование (ПВО), филиал Нефтепромлизинг (процедура 40007132620)",2025-10-08,75,8612003852,3420,ЗК-МТР-002,24278464.17,30870650.04,Россия,0,В работе
40007616005,Закупка ГСМ и топливо для АО РН-Ярославль (процедура 40007616005),2023-03-15,43,770000000249,3990,ЗК-МТР-008,41556037.92,30804508.79,Россия,0,В работе
40001659101,Закупка Химреагенты (промышленные) — ООО НЗМП (№40001659101),2025-03-20,50,3812527396,3190,ЗК-МТР-004,25989648.29,30592666.24,Россия,0,Исполнен
40008907045,"Закупка Гидравлические масла, филиал АО РН-Ярославль (процедура 40008907045)",2022-07-28,43,8604059474,2420,ЗК-МТР-002,25014958.63,30514582.88,Россия,0,В работе
40006837919,Закупка Прочая вычислительная техника для УВАТНЕФТЕГАЗ (процедура 40006837919),2024-10-17,22,8619017283,3660,ЗК-МТР-006,26207711.94,30066363.36,Россия,0,Исполнен
40006888563,Закупка Химреагенты (промышленные) — Уфимский филиал АО РН-ПН (№40006888563),2023-09-29,26,8617016118,3190,ЗК-МТР-006,35061318.17,30015136.84,Россия,0,Исполнен
40002346850,"Закупка Спецкабель (КПБК/КПБП), филиал РН-Морской_терминал_Находка (процедура 40002346850)",2024-06-20,72,6685017532,3880,ЗК-МТР-010,38079256.82,29458039.34,Россия,0,Исполнен
40001482313,Закупка Спецодежда для ООО РН-Черноземье (процедура 40001482313),2023-05-29,6,770000000196,3850,ЗК-МТР-004,24644175.26,29432425.16,Россия,0,Исполнен
40002852673,Закупка Дизтопливо арктическое — РН-СТАВРОПОЛЬЕ (№40002852673),2025-06-03,15,7717802970,2230,ЗК-МТР-006,22208701.93,29395971.97,Россия,0,В работе
40009877903,"Закупка Крепежный и тампонажный цемент, филиал АО РН-Ярославль (процедура 40009877903)",2025-06-12,43,770000000234,3530,ЗК-МТР-002,24081816.46,29354014.26,Россия,0,Исполнен
40009551034,Закупка Стальные трубы (б/ш и э/с) для АЗКиОС (процедура 40009551034),2023-02-24,78,770000000249,3120,ЗК-МТР-010,153959689.4,117124764.36,Россия,0,В работе
40009366647,Закупка Медикаменты — АнгараНефть (№40009366647),2022-12-25,56,7724294887,4000,ЗК-МТР-002,22331877.24,28794783.14,Россия,0,Исполнен
40000323932,"Закупка Вентиляция и кондиционирование, филиал АнгараНефть (процедура 40000323932)",2023-07-21,56,8603150829,4020,ЗК-МТР-010,32590574.17,27550344.12,Россия,0,Исполнен
40003318959,Закупка Катаные трубы для ООО РН-Карт (процедура 40003318959),2023-07-21,5,770000000247,3090,ЗК-МТР-004,103423564.28,109570239.6,Россия,0,В работе
40009459404,Закупка Вентиляция и кондиционирование — Банк ВБРР (№40009459404),2025-09-26,44,1106013435,4020,ЗК-МТР-008,34612458.16,27190870.61,Россия,0,Исполнен
40000165031,"Закупка Установки ЭЦН, филиал Самотлорнефтегаз (процедура 40000165031)",2025-12-06,20,8602060026,3290,ЗК-МТР-007,36051184.02,27086464.98,Россия,0,Исполнен
40005732785,Закупка Электродвигатели для БРЯНСКНЕФТЕПРОДУКТ (процедура 40005732785),2023-02-26,45,8619008017,3570,ЗК-МТР-009,23004481.62,26818835.05,Россия,0,В работе
40000863723,Закупка Тара и упаковка — Туапсинский НПЗ (№40000863723),2025-04-23,29,3812100526,3980,ЗК-МТР-008,29695150.12,26803698.06,Россия,0,Исполнен
40009622186,"Закупка Сырье и кокс, филиал АО РН-Ярославль (процедура 40009622186)",2023-09-21,43,3812100526,3020,ЗК-МТР-005,33976362.09,26365873.73,Россия,0,Исполнен
40007280088,Закупка Вентиляция и кондиционирование для АО Отрадненский ГПЗ (процедура 40007280088),2023-05-25,55,8612012328,4020,ЗК-МТР-002,25318656.08,26308292.66,Россия,0,Исполнен
40002423184,Закупка Запчасти для бурового оборудования — РН-ОХРАНА-АНГАРСК (№40002423184),2024-09-11,7,7704459330,3440,ЗК-МТР-005,25571895.27,26204447.53,Россия,0,Исполнен
40002880082,"Закупка Тара и упаковка, филиал РН-ОХРАНА-АНГАРСК (процедура 40002880082)",2023-09-08,7,8602217069,3980,ЗК-МТР-008,30366705.71,26164906.09,Россия,0,Исполнен
40004700261,Закупка Крепежный и тампонажный цемент для 00_РН-Москва (процедура 40004700261),2023-08-25,65,8603222431,3530,ЗК-МТР-010,25701948.54,26158614.42,Россия,0,В работе
40004873817,Закупка Нефть (на подготовку) — РН-СТ (№40004873817),2022-11-13,71,8604059474,1300,ЗК-МТР-009,30954096.62,25903273.87,Россия,0,Исполнен
40003667202,"Закупка Резисторы, филиал ООО ТЮНГД (процедура 40003667202)",2023-12-03,64,2466249029,3690,ЗК-МТР-009,26417926.06,25299342.66,Россия,0,Исполнен
40007646758,Закупка Оборудование для ремонта скважин для ООО РН-Пожарная безопасность (процедура 40007646758),2025-07-18,47,8603150829,3470,ЗК-МТР-001,31391322.3,25037685.32,Россия,0,Исполнен
40007650579,Закупка Прочие смазки — ООО ИК СИБИНТЕК (№40007650579),2022-09-18,80,2461124820,2550,ЗК-МТР-009,27223123.35,24461199.15,Россия,0,В работе
40009422792,"Закупка Смазки и антифризы, филиал АЗКиОС (процедура 40009422792)",2022-12-27,78,6732075238,2510,ЗК-МТР-007,32450770.97,24115621.29,Россия,0,Исполнен
40004567973,Закупка Вагон-дома и мобильные здания для АО РОСПАН ИНТЕРНЕШНЛ (процедура 40004567973),2022-11-04,41,8612012328,3520,ЗК-МТР-009,27693930.26,23822607.22,Россия,0,Исполнен
40001564827,Закупка Буровой инструмент (калибраторы) — АО РН-Няганьнефтегаз (№40001564827),2025-03-24,35,770000000198,3340,ЗК-МТР-008,30529470.93,23741947.37,Россия,0,Исполнен
40001550285,"Закупка Электроизоляционные масла, филиал Саратовнефтепродукт (процедура 40001550285)",2024-07-14,67,770000000238,2440,ЗК-МТР-001,24129388.84,23647189.53,Россия,0,Исполнен
40002094633,Закупка Прочие нефтепродукты для АО РН-Ярославль (процедура 40002094633),2025-01-24,43,770000000198,2810,ЗК-МТР-008,30191437.02,23368992.9,Россия,0,Исполнен
40002667573,Закупка Уплотнительные смазки — Саратовнефтепродукт (№40002667573),2022-07-13,67,8612012328,2520,ЗК-МТР-008,23931629.89,23310620.95,Россия,0,Исполнен
40009837489,"Закупка Авиабензин, филиал Смоленск-НП (процедура 40009837489)",2025-05-20,8,7728862509,2010,ЗК-МТР-003,24050314.59,23307996.89,Россия,0,В работе
40004353212,Закупка Прочая вычислительная техника для РН-АЭРО (процедура 40004353212),2023-12-09,40,276153614,3660,ЗК-МТР-001,28294217.68,23149379.29,Россия,0,В работе
40007802935,Закупка Чугун и сталь — 6. ПАО АНК Башнефть (№40007802935),2024-05-19,17,7203126844,3030,ЗК-МТР-008,27311611.44,23131322.42,Россия,0,Исполнен
40005640949,"Закупка Моторные масла, филиал ООО РН-Пожарная безопасность (процедура 40005640949)",2024-08-14,47,7719846807,2410,ЗК-МТР-003,21264855.29,22873610.43,Россия,0,Исполнен
40008818798,Закупка Полупроводники для УНХ (процедура 40008818798),2023-04-04,9,8603089941,3710,ЗК-МТР-003,22598055.54,22093943.33,Россия,0,Исполнен
40008616046,Закупка Автохимия — Саратовнефтепродукт (№40008616046),2024-08-17,67,7714024384,3995,ЗК-МТР-001,20829714.23,21973437.48,Россия,0,Исполнен
40004895781,"Закупка Проводная связь, филиал Банк ВБРР (процедура 40004895781)",2023-11-22,44,8607013460,3740,ЗК-МТР-005,28339412.15,21809799.47,Россия,0,В работе
40009629308,Закупка Тампонажный цемент для ГРОЗНЕФТЕГАЗ (процедура 40009629308),2025-01-02,81,5019026876,3540,ЗК-МТР-010,18852225.73,21671565.81,Россия,0,Исполнен
40005206258,Закупка Спецбитум — ООО РН-Карт (№40005206258),2025-04-04,5,2466237136,2630,ЗК-МТР-007,18426337.15,21612907.81,Россия,0,Исполнен
40009617491,"Закупка Стальные трубы (б/ш и э/с), филиал ООО НЗМП (процедура 40009617491)",2023-03-14,50,276153614,3120,ЗК-МТР-010,91562171.16,83687648.48,Россия,0,Исполнен
40003782880,Закупка Прочее электрооборудование для ООО РН-СтройКонтроль (процедура 40003782880),2022-10-31,48,8612012328,3930,ЗК-МТР-009,20491921.99,20640376.21,Россия,0,Исполнен
40004646501,Закупка Железобетонные изделия (ЖБИ) — ООО РН-Черноземье (№40004646501),2023-07-31,6,7801413595,3910,ЗК-МТР-007,22158619.46,20263589.77,Россия,0,В работе
40005072727,"Закупка Химреагенты (промышленные), филиал Саратовнефтепродукт (процедура 40005072727)",2024-10-07,67,8607013460,3190,ЗК-МТР-009,17603029.99,20187831.15,Россия,0,Исполнен
40004663660,Закупка Щиты управления для ООО ИК СИБИНТЕК (процедура 40004663660),2025-02-28,80,2311236806,3320,ЗК-МТР-008,21937470.45,20040753.18,Россия,0,Исполнен
40001569146,Закупка Спец. компьютерные устройства — 6. ПАО АНК Башнефть (№40001569146),2023-12-01,17,9706023006,3620,ЗК-МТР-002,22466374.39,19403225.79,Россия,0,Исполнен
40008482749,"Закупка Программное обеспечение (ПО), филиал ТНП (процедура 40008482749)",2023-01-17,13,2466249029,3680,ЗК-МТР-001,17053934.46,19402090.07,Россия,0,Исполнен
40002670050,Закупка Цементировочное оборудование для РН-АЭРО (процедура 40002670050),2025-10-30,40,8603150829,3430,ЗК-МТР-007,16717238.29,19225766.56,Россия,0,Исполнен
40004775529,Закупка Противовыбросовое оборудование (ПВО) — АО РНПК (№40004775529),2025-06-22,36,8603093017,3420,ЗК-МТР-007,23184979.01,19197023.92,Россия,0,Исполнен
40007798028,"Закупка Аккумуляторы (АКБ), филиал АнгараНефть (процедура 40007798028)",2025-08-29,56,7706660065,3920,ЗК-МТР-008,18472003.07,19183731.16,Россия,0,Расторгнут
40009502956,Закупка ПК и офисная техника для АООРЕНБУРГНЕФТЬ (процедура 40009502956),2025-06-03,2,770000000239,3590,ЗК-МТР-005,17789949.42,19079483.72,Россия,0,Исполнен
40001973019,Закупка Изоляционные материалы — ООО РН-Юганскнефтегаз (№40001973019),2024-05-04,52,8904081664,3900,ЗК-МТР-003,17999308.98,18759664.77,Россия,0,В работе
40000993651,"Закупка Озокерит (сырье), филиал РН-Морской_терминал_Находка (процедура 40000993651)",2024-11-15,72,7203556170,1600,ЗК-МТР-008,17560365.22,18727394.4,Россия,0,Исполнен
40002219456,Закупка Спецтехника для ООО ПНЦ Биосфера (процедура 40002219456),2023-02-05,51,8603152495,3500,ЗК-МТР-006,19670232.95,18670197.65,Россия,0,В работе
40003181888,Закупка Черный металлопрокат — РН-АЭРО (№40003181888),2023-11-09,40,8603214470,3040,ЗК-МТР-003,17771199.83,18512266.62,Россия,0,Исполнен
40002093560,"Закупка Устьевое оборудование, филиал ЗАО ИННЦ (процедура 40002093560)",2022-11-28,27,7017253595,3400,ЗК-МТР-001,16237620.02,18371070.58,Россия,0,Исполнен
40007541245,Закупка Бурильные трубы для Саратовнефтепродукт (процедура 40007541245),2024-10-26,67,8603170092,3100,ЗК-МТР-003,93271045.48,72777990.92,Россия,0,Исполнен
40000498222,Закупка Посуда и кухонный инвентарь — АО РН-Тверь (№40000498222),2022-03-21,59,5507296450,3780,ЗК-МТР-005,23690399.58,17927434.17,Россия,0,Исполнен
40000153418,"Закупка Уплотнительные смазки, филиал УДМУРТНЕФТЬ-БУРЕНИЕ (процедура 40000153418)",2022-10-08,24,770000000243,2520,ЗК-МТР-003,13884481.26,17832058.72,Россия,0,В работе
40002984257,Закупка Насосные штанги для ЗАО ИННЦ (процедура 40002984257),2023-04-13,27,6381010888,3280,ЗК-МТР-001,17664362.92,17599142.32,Россия,0,В работе
40007419096,Закупка Фонтанная арматура — АО РНПК (№40007419096),2025-11-17,36,4501174492,3260,ЗК-МТР-005,14596466.86,17300251.34,Россия,0,Исполнен
40006094004,"Закупка Присадки к маслам, филиал АО Отрадненский ГПЗ (процедура 40006094004)",2024-11-11,55,5507296450,2710,ЗК-МТР-010,16692780.42,17076983.39,Россия,0,Исполнен
40005348478,Закупка Мазут металлургический для УДМУРТНЕФТЬ-БУРЕНИЕ (процедура 40005348478),2025-07-21,24,8612016481,2320,ЗК-МТР-007,13033571.21,17032272.4,Россия,0,Исполнен
40005632693,Закупка Сувенирная продукция — РН-Морской_терминал_Находка (№40005632693),2023-05-29,72,8603176619,3790,ЗК-МТР-007,17454492.81,16948624.1,Россия,0,В работе
40004532614,"Закупка Черный металлопрокат, филиал ООО РН-СтройКонтроль (процедура 40004532614)",2024-11-14,48,7839039731,3040,ЗК-МТР-009,19912088.44,16779066.28,Россия,0,Исполнен
40005766518,Закупка Погружные насосы и запчасти для ВЧНГ (процедура 40005766518),2023-10-28,31,4707029837,3300,ЗК-МТР-010,20865615.53,16762387.33,Россия,0,В работе
40003317566,Закупка Прочие присадки — РН-Морской_терминал_Находка (№40003317566),2024-07-17,72,246513783782,2730,ЗК-МТР-010,21370226.98,16470526.69,Россия,0,В работе
40004492817,"Закупка Оснастка обсадных колонн, филиал АО РН-Ярославль (процедура 40004492817)",2025-12-16,43,7717802970,3360,ЗК-МТР-003,17380876.35,16399878.97,Россия,0,В работе
40000035997,Закупка Прочие материалы для АО РОСПАН ИНТЕРНЕШНЛ (процедура 40000035997),2023-04-14,41,8602089508,3860,ЗК-МТР-007,13914955.91,16307685.02,Россия,0,Исполнен
40006293992,Закупка Навигационное оборудование — АО РН-Тверь (№40006293992),2022-05-21,59,7203258777,3760,ЗК-МТР-001,20904781.2,16253740.14,Россия,0,Исполнен
40000747815,"Закупка Фонтанная арматура, филиал АО РН-Ярославль (процедура 40000747815)",2024-08-10,43,8602285774,3260,ЗК-МТР-004,15460084.28,16130746.5,Россия,0,В работе
40007487071,Закупка Мазут металлургический для РН-ОХРАНА-АНГАРСК (процедура 40007487071),2022-04-18,7,770000000214,2320,ЗК-МТР-004,14878440.44,15963169.84,Россия,0,Исполнен
40004790403,Закупка Сантехника — СНКНГ Славнефть-Красноярскнефтегаз (№40004790403),2023-05-26,21,7736035485,3810,ЗК-МТР-005,17108103.12,15736314.24,Россия,0,В работе
40001112373,"Закупка Очистка буровых растворов, филиал Уфимский филиал АО РН-ПН (процедура 40001112373)",2025-09-03,26,8619015462,3390,ЗК-МТР-007,19641070.54,15720316.22,Россия,0,Исполнен
40004039508,Закупка Озокерит (сырье) для Саратовнефтепродукт (процедура 40004039508),2025-05-02,67,770000000232,1600,ЗК-МТР-007,17958642.42,15619018.39,Россия,0,Исполнен
40000109290,Закупка Персональные компьютеры — Уфимский филиал АО РН-ПН (№40000109290),2025-03-15,26,770000000213,3600,ЗК-МТР-004,20368829.37,15432394.85,Россия,0,Исполнен
40002667624,"Закупка Электроизоляционные масла, филиал Уфимский филиал АО РН-ПН (процедура 40002667624)",2022-05-08,26,5003116972,2440,ЗК-МТР-007,16716214.23,15279896.52,Россия,0,В работе
40002186408,Закупка Насосно-компрессорные трубы (НКТ) для ООО НЗМП (процедура 40002186408),2025-05-21,50,770000000214,3150,ЗК-МТР-003,63914986.24,60821114.72,Россия,0,Исполнен
40004235268,Закупка Сварные трубы большого диаметра — ООО РН-Морской терминал Архангельск (№40004235268),2024-10-01,77,8602285774,3140,ЗК-МТР-006,50477896.44,60571065.0,Россия,0,Исполнен
40004991789,"Закупка Периферийные устройства, филиал РН-ОХРАНА-АНГАРСК (процедура 40004991789)",2024-05-18,7,5911074937,3630,ЗК-МТР-002,13932876.47,15062704.28,Россия,0,В работе
40004726980,Закупка Газ природный для ООО РН-Черноземье (процедура 40004726980),2025-01-07,6,6316271946,1700,ЗК-МТР-010,19599212.1,15010175.1,Россия,0,В работе
40003903006,Закупка Реактивное топливо — РН-АЭРО (№40003903006),2025-01-05,40,7713801616,2110,ЗК-МТР-009,16245474.22,14889530.31,Россия,0,В работе
40009703850,"Закупка Оборудование для ремонта скважин, филиал РН-Морской_терминал_Находка (процедура 40009703850)",2023-02-22,72,9706023006,3470,ЗК-МТР-005,14048031.73,14862340.85,Россия,0,Исполнен
40005257355,Закупка Мебель для Туапсинский НПЗ (процедура 40005257355),2024-01-01,29,770000000233,3830,ЗК-МТР-006,18156952.81,14697241.67,Россия,0,В работе
40000642350,Закупка Трубопроводная арматура — УНХ (№40000642350),2024-10-09,9,8904081664,3480,ЗК-МТР-004,12478659.11,14671538.41,Россия,0,Исполнен
40004112773,"Закупка Пожарное оборудование, филиал ООО РН-Черноземье (процедура 40004112773)",2023-02-13,6,7725613712,3210,ЗК-МТР-010,11813273.55,14620615.34,Россия,0,Исполнен
40000494683,Закупка Бензины для химпрома для Смоленск-НП (процедура 40000494683),2023-07-30,8,7704459330,2040,ЗК-МТР-007,11664829.89,14595053.03,Россия,0,Исполнен
40000907956,Закупка Котельное оборудование — ООО РН-Черноземье (№40000907956),2022-09-05,6,7705816471,3050,ЗК-МТР-009,13195544.33,14480187.71,Россия,0,Исполнен
40009652093,"Закупка Прочие присадки, филиал ВНИКТИНХО (процедура 40009652093)",2022-08-12,46,6311158009,2730,ЗК-МТР-007,17713485.13,14472383.48,Россия,0,Исполнен
40004152029,Закупка Стальные трубы с АКП для ООО СКН (процедура 40004152029),2022-12-28,87,8604048095,3160,ЗК-МТР-001,76386814.2,57721754.92,Россия,0,Исполнен
40008759903,Закупка Прочая металлопродукция — СНКНГ Славнефть-Красноярскнефтегаз (№40008759903),2022-03-10,21,2466237136,3180,ЗК-МТР-001,14746285.05,14335019.11,Россия,0,Расторгнут
