КодГруппы,НазваниеГруппы,Категория
3160,Стальные трубы с АКП,Металлопрокат и трубы
3170,Прочие стальные трубы,Металлопрокат и трубы
3171,Свайные трубы,Металлопрокат и трубы
3172,Чугунные трубы,Металлопрокат и трубы
3180,Прочая металлопродукция,Металлопрокат и трубы
3190,Химреагенты (промышленные),Химические материалы и реагенты
3200,РТИ и пластиковые изделия,Химические материалы и реагенты
3210,Пожарное оборудование,Охрана и безопасность
3220,Химреактивы (лабораторные),Химические материалы и реагенты
3230,Нефтепромысловое оборудование,"Оборудование, техника и прочее"
3240,Скважинное оборудование,"Оборудование, техника и прочее"
3250,Подъемники для ремонта скважин,"Оборудование, техника и прочее"
3260,Фонтанная арматура,"Оборудование, техника и прочее"
3270,Штанговые насосы (ШГН),"Оборудование, техника и прочее"
3280,Насосные штанги,"Оборудование, техника и прочее"
3290,Установки ЭЦН,"Оборудование, техника и прочее"
3300,Погружные насосы и запчасти,"Оборудование, техника и прочее"
3310,Погружные электродвигатели (ПЭД),"Оборудование, техника и прочее"
3320,Щиты управления,"Оборудование, техника и прочее"
3330,Буровые установки,"Оборудование, техника и прочее"
3340,Буровой инструмент (калибраторы),"Оборудование, техника и прочее"
3350,Буровые долота и головки,"Оборудование, техника и прочее"
3360,Оснастка обсадных колонн,"Оборудование, техника и прочее"
3370,Пакеры,"Оборудование, техника и прочее"
3380,Термостойкое скважинное оборудование,"Оборудование, техника и прочее"
3390,Очистка буровых растворов,"Оборудование, техника и прочее"
3400,Устьевое оборудование,"Оборудование, техника и прочее"
3410,Станки-качалки,"Оборудование, техника и прочее"
3420,Противовыбросовое оборудование (ПВО),"Оборудование, техника и прочее"
3430,Цементировочное оборудование,"Оборудование, техника и прочее"
3440,Запчасти для бурового оборудования,"Оборудование, техника и прочее"
3450,Вспомогательное буровое оборудование,"Оборудование, техника и прочее"
3460,Прочее скважинное оборудование,"Оборудование, техника и прочее"
3470,Оборудование для ремонта скважин,"Оборудование, техника и прочее"
3480,Трубопроводная арматура,"Оборудование, техника и прочее"
3490,Автотранспорт,Транспорт и логистика
3500,Спецтехника,"Оборудование, техника и прочее"
3510,Автозапчасти,Транспорт и логистика
3520,Вагон-дома и мобильные здания,"Оборудование, техника и прочее"
3530,Крепежный и тампонажный цемент,Строительные материалы
3540,Тампонажный цемент,Строительные материалы
3550,Кабельная продукция,Подстанции и трансформаторы
3560,Трансформаторы,Подстанции и трансформаторы
3570,Электродвигатели,Подстанции и трансформаторы
3580,Системы электроснабжения,Подстанции и трансформаторы
3590,ПК и офисная техника,ИТ и телеком
3600,Персональные компьютеры,ИТ и телеком
3610,Прочая компьютерная техника,ИТ и телеком
3620,Спец. компьютерные устройства,ИТ и телеком
3630,Периферийные устройства,ИТ и телеком
3640,Телеком-оборудование,ИТ и телеком
3650,Инженерные станции,ИТ и телеком
3660,Прочая вычислительная техника,ИТ и телеком
3670,Системы документооборота,ИТ и телеком
3680,Программное обеспечение (ПО),ИТ и телеком
3690,Резисторы,Подстанции и трансформаторы
3700,Конденсаторы,Подстанции и трансформаторы
3710,Полупроводники,Подстанции и трансформаторы
3720,Беспроводная связь,ИТ и телеком
3730,Судовое оборудование,"Оборудование, техника и прочее"
3740,Проводная связь,ИТ и телеком
3750,Радиолокационное оборудование,"Оборудование, техника и прочее"
3760,Навигационное оборудование,ИТ и телеком
3770,Канцтовары,Хозяйственные товары и материалы
3780,Посуда и кухонный инвентарь,Хозяйственные товары и материалы
3790,Сувенирная продукция,Маркетинг и PR
3800,Хозтовары,Хозяйственные товары и материалы
3810,Сантехника,"Оборудование, техника и прочее"
3820,Инструменты,"Оборудование, техника и прочее"
3830,Мебель,Хозяйственные товары и материалы
3840,Рабочая обувь,СИЗ и спецодежда
3850,Спецодежда,СИЗ и спецодежда
3860,Прочие материалы,Хозяйственные товары и материалы
3861,Прочие хозматериалы,Хозяйственные товары и материалы
3862,Комплектующие для общепита,Хозяйственные товары и материалы
3863,Оборудование для общепита,"Оборудование, техника и прочее"
3870,КИПиА,"Оборудование, техника и прочее"
3880,Спецкабель (КПБК/КПБП),Подстанции и трансформаторы
3890,Электроподстанции,Подстанции и трансформаторы
3900,Изоляционные материалы,"Оборудование, техника и прочее"
3910,Железобетонные изделия (ЖБИ),Строительные материалы
3920,Аккумуляторы (АКБ),Подстанции и трансформаторы
3930,Прочее электрооборудование,"Оборудование, техника и прочее"
3940,Нестандартизированное оборудование,"Оборудование, техника и прочее"
3950,Автошины,Транспорт и логистика
3960,Средства индивидуальной защиты (СИЗ),СИЗ и спецодежда
3970,Навигация и телеметрия,ИТ и телеком
3980,Тара и упаковка,Хозяйственные товары и материалы
3985,Проппант,Химические материалы и реагенты
3986,Кварцевый песок,Химические материалы и реагенты
3990,ГСМ и топливо,Топливо и масла
3995,Автохимия,Топливо и масла
4000,Медикаменты,"Оборудование, техника и прочее"
4010,Металлоконструкции,Металлопрокат и трубы
4020,Вентиляция и кондиционирование,"Оборудование, техника и прочее"
4030,Прочее оборудование,"Оборудование, техника и прочее"
